track_name,album_name,album_type,release_year,artists,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,author,producer
No Excuses,Unplugged,live album,1996,Alice In Chains,297,0.146,0.601,0.77,0.00195,3,0.802,-7.447,1,0.0415,121.067,4,0.723,Jerry Cantrell,Alex Coletti
Sludge Factory,Unplugged,live album,1996,Alice In Chains,276,0.0399,0.508,0.507,8.41e-06,1,0.943,-8.046,1,0.0257,166.469,3,0.227,"Layne Staley, Jerry Cantrell, Sean Kinney","Toby Wright, Alice in Chains"
Sludge Factory,Unplugged,live album,1996,Alice In Chains,276,0.0399,0.508,0.507,8.41e-06,1,0.943,-8.046,1,0.0257,166.469,3,0.227,"Layne Staley, Jerry Cantrell, Sean Kinney",Alex Coletti
Down In A Hole,Unplugged,live album,1996,Alice In Chains,346,0.0883,0.554,0.515,2.7e-05,6,0.883,-8.534,1,0.024,95.125,4,0.432,,
Angry Chair,Unplugged,live album,1996,Alice In Chains,276,0.0632,0.621,0.679,0.000497,8,0.988,-7.961,1,0.0475,109.413,4,0.185,Layne Staley,"Toby Wright, Alice in Chains"
Angry Chair,Unplugged,live album,1996,Alice In Chains,276,0.0632,0.621,0.679,0.000497,8,0.988,-7.961,1,0.0475,109.413,4,0.185,Layne Staley,Alex Coletti
Rooster,Unplugged,live album,1996,Alice In Chains,401,0.364,0.358,0.329,0.00265,0,0.137,-11.781,0,0.0298,145.04,4,0.141,Jerry Cantrell,"Toby Wright, Alice in Chains"
Rooster,Unplugged,live album,1996,Alice In Chains,401,0.364,0.358,0.329,0.00265,0,0.137,-11.781,0,0.0298,145.04,4,0.141,Jerry Cantrell,Alex Coletti
Got Me Wrong,Unplugged,live album,1996,Alice In Chains,300,0.116,0.535,0.69,0.000113,8,0.73,-8.956,1,0.045,81.871,4,0.293,Jerry Cantrell,"Toby Wright, Alice in Chains"
Got Me Wrong,Unplugged,live album,1996,Alice In Chains,300,0.116,0.535,0.69,0.000113,8,0.73,-8.956,1,0.045,81.871,4,0.293,Jerry Cantrell,Alex Coletti
Heaven Beside You,Unplugged,live album,1996,Alice In Chains,337,0.259,0.651,0.701,2.28e-05,1,0.72,-8.198,1,0.0389,112.537,4,0.426,"Jerry Cantrell, Mike Inez","Toby Wright, Alice in Chains"
Heaven Beside You,Unplugged,live album,1996,Alice In Chains,337,0.259,0.651,0.701,2.28e-05,1,0.72,-8.198,1,0.0389,112.537,4,0.426,"Jerry Cantrell, Mike Inez",Alex Coletti
Would?,Unplugged,live album,1996,Alice In Chains,223,0.0467,0.613,0.7,2.09e-06,10,0.702,-7.779,0,0.0283,100.743,4,0.467,Jerry Cantrell,"Toby Wright, Alice in Chains"
Would?,Unplugged,live album,1996,Alice In Chains,223,0.0467,0.613,0.7,2.09e-06,10,0.702,-7.779,0,0.0283,100.743,4,0.467,Jerry Cantrell,Alex Coletti
Frogs,Unplugged,live album,1996,Alice In Chains,450,0.325,0.574,0.398,0.0283,11,0.648,-12.857,1,0.0271,92.041,4,0.084,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney","Toby Wright, Alice in Chains"
Frogs,Unplugged,live album,1996,Alice In Chains,450,0.325,0.574,0.398,0.0283,11,0.648,-12.857,1,0.0271,92.041,4,0.084,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney",Alex Coletti
Over Now,Unplugged,live album,1996,Alice In Chains,432,0.167,0.608,0.502,0.00626,5,0.244,-10.45,0,0.0404,111.41,4,0.278,"Jerry Cantrell, Sean Kinney","Toby Wright, Alice in Chains"
Over Now,Unplugged,live album,1996,Alice In Chains,432,0.167,0.608,0.502,0.00626,5,0.244,-10.45,0,0.0404,111.41,4,0.278,"Jerry Cantrell, Sean Kinney",Alex Coletti
The Killer Is Me,Unplugged,live album,1996,Alice In Chains,323,0.277,0.468,0.682,0.195,1,0.829,-10.156,1,0.0418,121.983,4,0.327,Jerry Cantrell,Alex Coletti
Grind,Alice In Chains,studio album,1995,Alice In Chains,284,0.000146,0.393,0.883,0.000342,11,0.504,-5.884,1,0.0367,88.417,4,0.364,Jerry Cantrell,"Toby Wright, Alice in Chains"
Brush Away,Alice In Chains,studio album,1995,Alice In Chains,202,0.102,0.505,0.875,0.00057,10,0.235,-5.624,0,0.0318,105.481,4,0.231,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney","Toby Wright, Alice in Chains"
Sludge Factory,Alice In Chains,studio album,1995,Alice In Chains,432,0.00104,0.3,0.717,0.0142,3,0.165,-6.594,0,0.0307,164.402,4,0.418,"Layne Staley, Jerry Cantrell, Sean Kinney","Toby Wright, Alice in Chains"
Heaven Beside You,Alice In Chains,studio album,1995,Alice In Chains,327,0.00451,0.551,0.724,0.000167,10,0.116,-7.09,0,0.032,111.243,4,0.559,"Jerry Cantrell, Mike Inez","Toby Wright, Alice in Chains"
Head Creeps,Alice In Chains,studio album,1995,Alice In Chains,388,0.000772,0.317,0.976,0.154,8,0.13,-6.37,1,0.0546,101.505,4,0.243,Layne Staley,"Toby Wright, Alice in Chains"
Again,Alice In Chains,studio album,1995,Alice In Chains,245,0.000707,0.55,0.868,0.0245,7,0.121,-6.243,1,0.046,123.15,4,0.405,"Layne Staley, Jerry Cantrell","Toby Wright, Alice in Chains"
Shame In You,Alice In Chains,studio album,1995,Alice In Chains,335,0.000838,0.317,0.597,0.0223,8,0.119,-7.959,1,0.0268,140.824,4,0.18,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney","Toby Wright, Alice in Chains"
God Am,Alice In Chains,studio album,1995,Alice In Chains,248,0.00819,0.464,0.923,0.0087,8,0.299,-6.535,0,0.208,157.635,4,0.445,,
So Close,Alice In Chains,studio album,1995,Alice In Chains,165,0.000183,0.455,0.973,0.083,4,0.109,-5.278,1,0.0565,142.497,4,0.371,"Layne Staley, Jerry Cantrell, Sean Kinney","Toby Wright, Alice in Chains"
Nothin' Song,Alice In Chains,studio album,1995,Alice In Chains,340,0.00181,0.303,0.805,0.000222,8,0.375,-7.422,1,0.0444,122.365,4,0.283,"Layne Staley, Jerry Cantrell, Sean Kinney","Toby Wright, Alice in Chains"
