track_name,album_name,album_type,release_year,artists,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
We Die Young,Facelift,studio album,1990,Alice In Chains,152,1.79e-05,0.486,0.938,0.000103,1,0.361,-6.652,1,0.0704,125.816,4,0.525
Man in the Box,Facelift,studio album,1990,Alice In Chains,285,0.00045,0.355,0.791,0.0,8,0.0969,-7.565,1,0.0453,106.392,4,0.758
Sea Of Sorrow,Facelift,studio album,1990,Alice In Chains,349,0.0139,0.288,0.843,0.0,11,0.0555,-7.858,1,0.0633,122.147,4,0.311
Bleed The Freak,Facelift,studio album,1990,Alice In Chains,242,0.00252,0.245,0.749,7.87e-06,8,0.185,-9.352,0,0.0599,118.363,4,0.221
I Can't Remember,Facelift,studio album,1990,Alice In Chains,222,0.00146,0.277,0.736,2.43e-05,8,0.214,-8.851,1,0.0404,104.974,4,0.185
"Love, Hate, Love",Facelift,studio album,1990,Alice In Chains,387,0.00783,0.323,0.633,0.000112,8,0.0435,-9.014,1,0.0402,103.978,4,0.209
It Ain't Like That,Facelift,studio album,1990,Alice In Chains,277,0.00905,0.445,0.842,3.57e-05,8,0.295,-7.9,0,0.0417,102.859,4,0.676
Sunshine,Facelift,studio album,1990,Alice In Chains,285,0.00297,0.178,0.787,6.9e-06,1,0.163,-7.008,1,0.0476,76.932,4,0.37
Put You Down,Facelift,studio album,1990,Alice In Chains,195,0.00068,0.363,0.901,1.88e-05,5,0.348,-8.147,0,0.0558,113.575,4,0.574
Confusion,Facelift,studio album,1990,Alice In Chains,344,0.00666,0.251,0.734,4.73e-05,3,0.116,-7.43,1,0.0397,149.831,4,0.129
I Know Somethin (Bout You),Facelift,studio album,1990,Alice In Chains,262,7.98e-05,0.414,0.822,1.78e-06,8,0.402,-8.972,0,0.0597,113.363,4,0.747
Real Thing,Facelift,studio album,1990,Alice In Chains,245,0.00993,0.341,0.883,0.0,8,0.0714,-7.342,1,0.0906,123.056,4,0.265
Man in the Box,Greatest Hits,compilation album,2001,Alice In Chains,287,0.00144,0.339,0.854,0.0,8,0.0942,-4.577,1,0.0493,106.145,4,0.675
Them Bones,Greatest Hits,compilation album,2001,Alice In Chains,150,0.0249,0.153,0.955,4.63e-05,9,0.264,-4.62,1,0.0618,165.017,1,0.294
Rooster,Greatest Hits,compilation album,2001,Alice In Chains,375,0.161,0.262,0.636,0.00217,3,0.127,-5.945,1,0.0278,142.988,4,0.18
Angry Chair,Greatest Hits,compilation album,2001,Alice In Chains,288,0.0633,0.311,0.969,3.73e-06,8,0.0499,-3.986,1,0.104,106.817,4,0.129
Would?,Greatest Hits,compilation album,2001,Alice In Chains,208,0.00594,0.301,0.923,0.000756,6,0.0541,-5.458,1,0.0665,100.752,4,0.426
No Excuses,Greatest Hits,compilation album,2001,Alice In Chains,255,0.0209,0.53,0.851,0.000225,3,0.0784,-4.9,1,0.0309,117.468,4,0.687
