songs,writers,original_release,producers,release_year
Stain,Kurt Cobain,Non-album single,Steve Fisk,1989
Stay Away,Kurt Cobain,Nevermind,"Nirvana, Butch Vig",1991
Swap Meet,Kurt Cobain,Bleach,Jack Endino,1989
Talk to Me,Kurt Cobain,With the Lights Out,Unknown,2004
Territorial Pissings,Kurt Cobain,Nevermind,"Nirvana, Butch Vig",1991
They Hung Him on a Cross,Traditional ,With the Lights Out,Jack Endino,2004
Thrash Tune,Unknown,Unknown,Adam Kasper,-1
Token Eastern Song,Kurt Cobain,With the Lights Out,Steve Fisk,2004
Tourette's,Kurt Cobain,In Utero,Steve Albini,1993
Turnaround,"Gerald Casale, Mark Mothersbaugh",Hormoaning,Dale Griffin,1992
Verse Chorus Verse,Kurt Cobain,With the Lights Out,Butch Vig,2004
Very Ape,Kurt Cobain,In Utero,Steve Albini,1993
Where Did You Sleep Last Night?,Traditional ,MTV Unplugged in New York,"Alex Coletti, Scott Litt, Nirvana",1994
White Lace and Strange,Chris Bond,With the Lights Out,Unknown,2004
You Know You're Right,Kurt Cobain,Nirvana,Adam Kasper,2002
Untitled,Unknown,Unknown,Unknown,-1
Untitled,Unknown,Unknown,Unknown,-1
Untitled,Unknown,Unknown,Unknown,-1
Untitled,Unknown,Unknown,Unknown,-1
