,track_name,album_name,album_type,release_year,artists,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
51,Mood for Trouble,Ultramega OK (Expanded Reissue),album,2017,Soundgarden,260,0.0117,0.288,0.846,0.000251,4,0.111,-5.708,0,0.0408,140.122,4,0.2
52,Circle of Power,Ultramega OK (Expanded Reissue),album,2017,Soundgarden,124,0.00289,0.293,0.976,1.02e-05,9,0.383,-4.073,0,0.131,138.104,5,0.466
53,He Didn't,Ultramega OK (Expanded Reissue),album,2017,Soundgarden,167,0.0139,0.452,0.939,0.000547,9,0.355,-4.136,0,0.0502,140.437,3,0.776
54,Smokestack Lightning,Ultramega OK (Expanded Reissue),album,2017,Soundgarden,276,0.000625,0.402,0.781,0.00662,2,0.0978,-5.873,1,0.03,74.422,4,0.589
55,Nazi Driver,Ultramega OK (Expanded Reissue),album,2017,Soundgarden,232,0.000276,0.383,0.934,1.98e-05,4,0.136,-5.575,0,0.106,80.934,4,0.217
56,Head Injury,Ultramega OK (Expanded Reissue),album,2017,Soundgarden,140,0.000931,0.515,0.874,0.679,8,0.103,-7.593,0,0.0768,117.446,4,0.659
57,Incessant Mace,Ultramega OK (Expanded Reissue),album,2017,Soundgarden,381,3.84e-05,0.219,0.786,0.000114,11,0.117,-5.524,0,0.0413,97.096,3,0.144
58,One Minute of Silence,Ultramega OK (Expanded Reissue),album,2017,Soundgarden,62,0.156,0.16,0.344,0.931,6,0.285,-43.205,1,0.0757,130.582,4,0.0042
59,Head Injury - Early Version,Ultramega OK (Expanded Reissue),album,2017,Soundgarden,179,6.43e-05,0.433,0.97,0.888,8,0.148,-3.832,1,0.0618,102.796,4,0.534
60,Beyond the Wheel - Early Version,Ultramega OK (Expanded Reissue),album,2017,Soundgarden,295,0.00824,0.436,0.876,0.0654,2,0.109,-5.041,1,0.0615,125.582,4,0.199
61,Incessant Mace (Short) - Early Version,Ultramega OK (Expanded Reissue),album,2017,Soundgarden,382,0.000266,0.224,0.785,0.473,9,0.0789,-6.639,1,0.0348,96.181,4,0.312
62,He Didn't - Early Version,Ultramega OK (Expanded Reissue),album,2017,Soundgarden,174,1.64e-05,0.215,0.984,0.0012,1,0.376,-5.22,0,0.0884,139.273,3,0.475
63,All Your Lies - Early Version,Ultramega OK (Expanded Reissue),album,2017,Soundgarden,224,1.44e-05,0.271,0.961,0.174,4,0.256,-5.511,0,0.0826,92.671,4,0.389
64,Incessant Mace (Long) - Early Version,Ultramega OK (Expanded Reissue),album,2017,Soundgarden,469,0.0546,0.204,0.861,0.871,9,0.0908,-6.708,1,0.0602,165.724,3,0.237
65,Rusty Cage - Remastered,Badmotorfinger,album,2016,Soundgarden,266,1.65e-05,0.307,0.917,0.00044,9,0.0566,-7.599,1,0.0977,101.879,4,0.266
66,Outshined - Remastered,Badmotorfinger,album,2016,Soundgarden,311,0.000173,0.485,0.841,0.00686,2,0.125,-6.068,0,0.0307,94.867,4,0.551
67,Slaves & Bulldozers - Remastered,Badmotorfinger,album,2016,Soundgarden,416,3.86e-05,0.476,0.731,0.00213,0,0.305,-6.053,1,0.0336,130.981,4,0.215
68,Jesus Christ Pose - Remastered,Badmotorfinger,album,2016,Soundgarden,351,6.66e-06,0.341,0.965,0.723,9,0.317,-5.976,1,0.107,134.328,4,0.273
69,Face Pollution - Remastered,Badmotorfinger,album,2016,Soundgarden,143,5.07e-06,0.227,0.968,0.749,0,0.353,-5.483,1,0.133,117.771,4,0.485
70,Somewhere - Remastered,Badmotorfinger,album,2016,Soundgarden,261,0.000458,0.158,0.915,0.0145,9,0.487,-6.066,1,0.124,178.307,4,0.388
71,Searching With My Good Eye Closed - Remastered,Badmotorfinger,album,2016,Soundgarden,391,1.77e-05,0.307,0.777,0.514,9,0.25,-7.796,1,0.0577,125.602,4,0.0612
72,Room A Thousand Years Wide - Remastered,Badmotorfinger,album,2016,Soundgarden,246,1.55e-05,0.497,0.966,0.246,10,0.231,-4.843,1,0.0516,112.042,3,0.541
73,Mind Riot - Remastered,Badmotorfinger,album,2016,Soundgarden,289,6.24e-05,0.461,0.836,0.471,6,0.131,-6.571,0,0.0305,95.993,4,0.35
74,Drawing Flies - Remastered,Badmotorfinger,album,2016,Soundgarden,146,5.79e-06,0.296,0.929,0.000198,9,0.247,-5.862,1,0.0906,105.312,4,0.716
75,Holy Water - Remastered,Badmotorfinger,album,2016,Soundgarden,307,0.000119,0.372,0.87,0.0319,4,0.108,-5.6,0,0.0408,172.688,4,0.53
76,New Damage - Remastered,Badmotorfinger,album,2016,Soundgarden,340,6.66e-05,0.323,0.918,0.0258,5,0.118,-5.679,1,0.0477,119.396,4,0.245
77,Rusty Cage - Studio Outtake,Badmotorfinger,album,2016,Soundgarden,271,7.04e-05,0.278,0.935,0.785,2,0.296,-6.928,1,0.0815,102.068,4,0.443
78,Outshined - Studio Outtake,Badmotorfinger,album,2016,Soundgarden,313,1.01e-05,0.462,0.799,0.738,0,0.193,-7.259,1,0.0275,95.691,4,0.704
79,Slaves & Bulldozers - Studio Outtake,Badmotorfinger,album,2016,Soundgarden,426,8.81e-06,0.429,0.794,0.914,0,0.368,-7.983,1,0.0323,136.106,4,0.465
80,Jesus Christ Pose - Studio Outtake,Badmotorfinger,album,2016,Soundgarden,342,3.31e-06,0.378,0.977,0.609,9,0.117,-7.177,1,0.0854,133.795,4,0.336
81,Face Pollution - Studio Outtake,Badmotorfinger,album,2016,Soundgarden,146,1.61e-06,0.27,0.94,0.904,0,0.333,-7.712,1,0.0707,115.153,4,0.653
82,Somewhere - Studio Outtake,Badmotorfinger,album,2016,Soundgarden,262,1.31e-05,0.232,0.875,0.386,9,0.322,-7.552,1,0.0428,89.576,4,0.465
83,Searching With My Good Eye Closed - Studio Outtake,Badmotorfinger,album,2016,Soundgarden,421,0.00046,0.289,0.824,0.751,9,0.0746,-7.633,1,0.0346,124.961,4,0.2
84,Room A Thousand Years Wide - Studio Outtake,Badmotorfinger,album,2016,Soundgarden,247,2.39e-06,0.482,0.943,0.748,2,0.1,-6.956,0,0.0497,111.897,3,0.211
85,Drawing Flies - Studio Outtake,Badmotorfinger,album,2016,Soundgarden,156,3.88e-06,0.373,0.914,0.478,9,0.547,-7.359,1,0.0655,142.07,3,0.574
86,Holy Water - Studio Outtake,Badmotorfinger,album,2016,Soundgarden,331,0.000119,0.342,0.939,0.822,4,0.309,-6.578,0,0.0619,172.207,4,0.333
87,Cold Bitch - Studio Outtake,Badmotorfinger,album,2016,Soundgarden,323,4.63e-06,0.399,0.864,0.237,9,0.19,-7.36,1,0.0401,77.34,1,0.295
88,She's A Politician - Studio Outtake,Badmotorfinger,album,2016,Soundgarden,113,2.95e-06,0.287,0.973,0.862,1,0.122,-7.749,0,0.0697,151.682,4,0.827
89,Black Rain (Black Days) - Studio Outtake,Badmotorfinger,album,2016,Soundgarden,298,1.74e-05,0.16,0.867,0.92,7,0.117,-6.353,0,0.0518,87.894,4,0.393
90,Birth Ritual - Studio Outtake,Badmotorfinger,album,2016,Soundgarden,330,1.23e-05,0.501,0.966,0.897,7,0.147,-6.773,1,0.0679,130.492,1,0.416
91,Blind Dogs - Studio Outtake,Badmotorfinger,album,2016,Soundgarden,440,2.3e-05,0.286,0.697,0.504,7,0.098,-7.38,1,0.034,137.832,3,0.312
92,New Damage,Badmotorfinger,album,2016,"Soundgarden, Brian May",320,9.71e-06,0.283,0.825,0.308,7,0.143,-5.662,1,0.0415,119.837,3,0.215
93,"Searching With My Good Eye Closed - Live At The Paramount Theatre, Seattle / 1992",Badmotorfinger,album,2016,Soundgarden,267,9.33e-05,0.278,0.943,0.131,2,0.903,-5.539,1,0.0974,136.889,4,0.347
94,"Hands All Over - Live At The Paramount Theatre, Seattle / 1992",Badmotorfinger,album,2016,Soundgarden,366,4.62e-05,0.374,0.937,0.00644,2,0.343,-5.034,1,0.0792,96.673,4,0.454
95,"Drawing Flies - Live At The Paramount Theatre, Seattle / 1992",Badmotorfinger,album,2016,Soundgarden,150,3.53e-05,0.345,0.966,0.000597,2,0.827,-4.846,1,0.0776,111.875,4,0.447
96,"Room A Thousand Years Wide - Live At The Paramount Theatre, Seattle / 1992",Badmotorfinger,album,2016,Soundgarden,226,0.000219,0.536,0.921,0.0315,10,0.709,-5.468,1,0.038,115.481,3,0.676
97,"Gun - Live At The Paramount Theatre, Seattle / 1992",Badmotorfinger,album,2016,Soundgarden,364,0.000211,0.357,0.855,0.0976,9,0.908,-6.253,1,0.0636,102.52,4,0.342
98,"Flower - Live At The Paramount Theatre, Seattle / 1992",Badmotorfinger,album,2016,Soundgarden,217,2.76e-05,0.332,0.952,0.00925,0,0.419,-5.81,1,0.0766,97.411,4,0.348
99,"Little Joe - Live At The Paramount Theatre, Seattle / 1992",Badmotorfinger,album,2016,Soundgarden,296,0.000167,0.519,0.822,0.354,2,0.22,-6.596,1,0.0532,99.506,4,0.463
100,"Big Dumb Sex - Live At The Paramount Theatre, Seattle / 1992",Badmotorfinger,album,2016,Soundgarden,331,0.00131,0.248,0.881,0.022,1,0.909,-6.838,0,0.206,85.776,4,0.509
101,"Face Pollution - Live At The Paramount Theatre, Seattle / 1992",Badmotorfinger,album,2016,Soundgarden,161,6.83e-06,0.366,0.953,0.882,2,0.906,-6.171,1,0.0946,115.431,4,0.406
102,"Incessant Mace - Live At The Paramount Theatre, Seattle / 1992",Badmotorfinger,album,2016,Soundgarden,531,0.000133,0.207,0.837,0.26,11,0.728,-6.227,0,0.0523,183.173,3,0.297
103,"Rusty Cage - Live At The Paramount Theatre, Seattle / 1992",Badmotorfinger,album,2016,Soundgarden,363,0.00281,0.295,0.922,0.0138,2,0.676,-6.868,1,0.105,103.385,4,0.176
104,"Outshined - Live At The Paramount Theatre, Seattle/1992",Badmotorfinger,album,2016,Soundgarden,345,0.000137,0.429,0.861,0.0411,7,0.755,-6.162,1,0.0396,94.83,4,0.503
105,"Mind Riot - Live At The Paramount Theatre, Seattle/1992",Badmotorfinger,album,2016,Soundgarden,235,0.498,0.353,0.615,0.0393,7,0.976,-9.239,1,0.0545,183.557,4,0.202
106,"Beyond The Wheel - Live At The Paramount Theatre, Seattle/1992",Badmotorfinger,album,2016,Soundgarden,433,0.000294,0.255,0.877,0.404,2,0.457,-5.955,1,0.0688,113.735,4,0.119
107,"Into The Void (Sealth) - Live At The Paramount Theatre, Seattle/1992",Badmotorfinger,album,2016,Soundgarden,450,6.53e-05,0.243,0.915,0.319,2,0.707,-6.441,1,0.077,150.43,4,0.307
108,"Jesus Christ Pose - Live At The Paramount Theatre, Seattle/1992",Badmotorfinger,album,2016,Soundgarden,387,1.04e-05,0.229,0.975,0.709,2,0.875,-5.787,1,0.182,144.62,4,0.148
109,"Hunted Down - Live At The Paramount Theatre, Seattle/1992",Badmotorfinger,album,2016,Soundgarden,188,2.52e-05,0.359,0.928,0.271,0,0.937,-5.97,1,0.0659,94.369,4,0.417
110,"Somewhere - Live At The Paramount Theatre, Seattle/1992",Badmotorfinger,album,2016,Soundgarden,263,0.000164,0.166,0.93,0.00664,9,0.852,-5.937,1,0.0872,89.957,4,0.27
111,"Slaves & Bulldozers - Live At The Paramount Theatre, Seattle/1992",Badmotorfinger,album,2016,Soundgarden,951,0.000572,0.24,0.826,0.447,2,0.919,-6.035,1,0.0488,134.617,4,0.152
112,Hunted Down - Remastered,Screaming Life/Fopp,album,2013,Soundgarden,162,0.000294,0.374,0.92,0.762,1,0.241,-8.228,1,0.116,165.379,4,0.484
113,Entering - Remastered,Screaming Life/Fopp,album,2013,Soundgarden,273,0.0114,0.277,0.793,0.949,9,0.179,-7.263,1,0.0947,149.124,4,0.342
114,Tears to Forget - Remastered,Screaming Life/Fopp,album,2013,Soundgarden,121,0.0137,0.307,0.953,0.904,5,0.237,-7.655,0,0.0775,101.011,4,0.546
115,Nothing to Say - Remastered,Screaming Life/Fopp,album,2013,Soundgarden,237,0.00139,0.199,0.786,0.815,2,0.227,-7.495,1,0.0508,113.772,4,0.462
116,Little Joe - Remastered,Screaming Life/Fopp,album,2013,Soundgarden,269,0.00279,0.6,0.631,0.695,2,0.0782,-9.704,1,0.0575,96.277,4,0.891
117,Hand of God - Remastered,Screaming Life/Fopp,album,2013,Soundgarden,266,0.0139,0.391,0.933,0.238,11,0.374,-6.867,0,0.0871,169.414,3,0.714
118,Sub Pop Rock City - Remastered,Screaming Life/Fopp,album,2013,Soundgarden,195,0.000335,0.377,0.88,0.0116,2,0.117,-8.321,1,0.102,156.294,4,0.244
119,Fopp - Remastered,Screaming Life/Fopp,album,2013,Soundgarden,217,0.00449,0.493,0.817,0.00622,0,0.171,-7.901,1,0.0748,187.971,4,0.895
120,Fopp (Fucked Up Heavy Dub Mix) - Remastered,Screaming Life/Fopp,album,2013,Soundgarden,388,0.00194,0.508,0.907,0.13,5,0.0786,-7.727,1,0.0889,188.095,4,0.707
121,Kingdom of Come - Remastered,Screaming Life/Fopp,album,2013,Soundgarden,156,0.000769,0.267,0.88,0.086,9,0.215,-8.319,1,0.0796,163.047,4,0.63
122,Swallow My Pride - Remastered,Screaming Life/Fopp,album,2013,Soundgarden,140,0.000263,0.405,0.868,0.715,4,0.353,-8.923,1,0.0633,133.005,4,0.739
123,Been Away Too Long,King Animal (Deluxe Version),album,2012,Soundgarden,216,5.49e-05,0.475,0.971,0.0124,9,0.367,-3.541,1,0.102,152.868,4,0.641
124,Non-State Actor,King Animal (Deluxe Version),album,2012,Soundgarden,237,2.98e-05,0.526,0.924,0.001,9,0.0294,-3.832,1,0.0517,90.027,4,0.856
125,By Crooked Steps,King Animal (Deluxe Version),album,2012,Soundgarden,240,0.00103,0.58,0.858,0.00134,7,0.192,-4.577,1,0.0422,120.91,5,0.533
126,A Thousand Days Before,King Animal (Deluxe Version),album,2012,Soundgarden,263,8.15e-05,0.416,0.905,0.00862,5,0.0761,-5.291,1,0.0575,114.742,4,0.158
127,Blood On The Valley Floor,King Animal (Deluxe Version),album,2012,Soundgarden,228,0.00129,0.473,0.838,0.00253,5,0.101,-4.153,1,0.0373,137.967,4,0.707
128,Bones Of Birds,King Animal (Deluxe Version),album,2012,Soundgarden,262,0.00557,0.555,0.724,0.00234,7,0.101,-5.561,1,0.0305,126.092,1,0.184
129,Taree,King Animal (Deluxe Version),album,2012,Soundgarden,218,9.23e-05,0.549,0.839,0.113,5,0.189,-4.444,1,0.0296,112.054,4,0.482
130,Attrition,King Animal (Deluxe Version),album,2012,Soundgarden,172,0.000109,0.395,0.948,0.000365,9,0.342,-4.959,0,0.0681,75.625,4,0.292
131,Black Saturday,King Animal (Deluxe Version),album,2012,Soundgarden,209,0.00433,0.527,0.73,0.00019,9,0.101,-5.519,1,0.0359,156.139,4,0.485
132,Halfway There,King Animal (Deluxe Version),album,2012,Soundgarden,196,0.00959,0.596,0.886,7.51e-05,0,0.118,-4.718,1,0.0302,104.923,4,0.198
133,Worse Dreams,King Animal (Deluxe Version),album,2012,Soundgarden,293,0.000192,0.535,0.834,0.012,9,0.47,-4.834,1,0.0446,142.007,3,0.393
134,Eyelid's Mouth,King Animal (Deluxe Version),album,2012,Soundgarden,279,0.00404,0.268,0.657,0.0516,6,0.0731,-4.387,1,0.0366,182.684,4,0.403
135,Rowing,King Animal (Deluxe Version),album,2012,Soundgarden,306,0.071,0.524,0.629,2.78e-05,9,0.113,-8.047,0,0.0409,115.958,4,0.502
136,Worse Dreams - Demo,King Animal (Deluxe Version),album,2012,Soundgarden,200,0.00013,0.665,0.495,0.511,9,0.0888,-5.968,1,0.0438,141.967,3,0.269
